file,n_rows,t0_ms,t1_ms
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,55050,1593018935063.0,1593019014518.49
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,62400,1593019029107.0,1593019111447.48
Subj_01_Isokin_L_02kg_80bpm_EMG_data.csv,51000,1593019122732.0,1593019192307.78
Subj_01_Isokin_L_02kg_St_EMG_data.csv,33750,1593018866877.0,1593018910431.01
Subj_01_Isokin_L_04kg_40bpm_EMG_data.csv,55350,1593019816863.0,1593019887495.13
Subj_01_Isokin_L_04kg_60bpm_EMG_data.csv,56100,1593019915509.0,1593019989138.94
Subj_01_Isokin_L_04kg_80bpm_EMG_data.csv,50100,1593020014485.0,1593020077854.85
Subj_01_Isokin_L_04kg_St_EMG_data.csv,33900,1593019737060.0,1593019782628.33
Subj_01_Isokin_R_02kg_40bpm_EMG_data.csv,71400,1593018456345.0,1593018549062.6
Subj_01_Isokin_R_02kg_60bpm_EMG_data.csv,59100,1593018658899.0,1593018734908.16
Subj_01_Isokin_R_02kg_80bpm_EMG_data.csv,58950,1593018757449.0,1593018838806.1
Subj_01_Isokin_R_02kg_St_EMG_data.csv,36000,1593018138307.0,1593018182022.58
Subj_01_Isokin_R_04kg_40bpm_EMG_data.csv,59250,1593019317902.0,1593019396635.47
Subj_01_Isokin_R_04kg_60bpm_EMG_data.csv,54600,1593019405825.0,1593019478299.31
Subj_01_Isokin_R_04kg_80bpm_EMG_data.csv,55950,1593019588136.0,1593019662757.43
Subj_01_Isokin_R_04kg_St_EMG_data.csv,35100,1593019261555.0,1593019305214.52
Subj_01_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,64200,1592247784147.0,1592247855446.13
Subj_01_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,67200,1592247881509.0,1592247956878.19
Subj_01_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,57450,1592247980377.0,1592248053240.17
Subj_01_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,60600,1592248117485.0,1592248191177.29
Subj_01_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,61050,1592248222624.0,1592248296908.23
Subj_01_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,63300,1592248392992.0,1592248468283.19
Subj_01_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,64650,1592248550138.0,1592248625724.93
Subj_01_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,62550,1592248649333.0,1592248725946.36
Subj_01_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,61200,1592248856536.0,1592248932033.69
Subj_01_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,68550,1592247782774.0,1592247856962.9
Subj_01_MMH_Bim_R_02kg_Trial_2_EMG_data.csv,70650,1592247880043.0,1592247957660.31
Subj_01_MMH_Bim_R_02kg_Trial_3_EMG_data.csv,59400,1592247979505.0,1592248053971.28
Subj_01_MMH_Bim_R_08kg_Trial_1_EMG_data.csv,59950,1592248118438.0,1592248195086.66
Subj_01_MMH_Bim_R_08kg_Trial_2_EMG_data.csv,61450,1592248224191.0,1592248301242.29
Subj_01_MMH_Bim_R_08kg_Trial_3_EMG_data.csv,60307,1592248391641.0,1592248464093.59
Subj_01_MMH_Bim_R_12kg_Trial_1_EMG_data.csv,66850,1592248551171.0,1592248629656.56
Subj_01_MMH_Bim_R_12kg_Trial_2_EMG_data.csv,63000,1592248647625.0,1592248725358.63
Subj_01_MMH_Bim_R_12kg_Trial_3_EMG_data.csv,61300,1592248858116.0,1592248936430.86
Subj_01_MMH_One_L_02kg_Trial_1_EMG_data.csv,103950,1592245374668.0,1592245488565.24
Subj_01_MMH_One_L_02kg_Trial_2_EMG_data.csv,87300,1592245521849.0,1592245619847.24
Subj_01_MMH_One_L_02kg_Trial_3_EMG_data.csv,67800,1592245772662.0,1592245849432.45
Subj_01_MMH_One_L_04kg_Trial_1_EMG_data.csv,65850,1592246910208.0,1592246982230.34
Subj_01_MMH_One_L_04kg_Trial_2_EMG_data.csv,62100,1592247109218.0,1592247177987.79
Subj_01_MMH_One_L_04kg_Trial_3_EMG_data.csv,66300,1592247219588.0,1592247291309.4
Subj_01_MMH_One_R_02kg_Trial_1_EMG_data.csv,81000,1592246442346.0,1592246534419.08
Subj_01_MMH_One_R_02kg_Trial_2_EMG_data.csv,74850,1592246588993.0,1592246669342.38
Subj_01_MMH_One_R_02kg_Trial_3_EMG_data.csv,71250,1592246690087.0,1592246768311.3
Subj_01_MMH_One_R_04kg_Trial_1_EMG_data.csv,64950,1592247342717.0,1592247413009.7
Subj_01_MMH_One_R_04kg_Trial_2_EMG_data.csv,65850,1592247435437.0,1592247506751.98
Subj_01_MMH_One_R_04kg_Trial_3_EMG_data.csv,66000,1592247561850.0,1592247633262.98
Subj_01_MVC_Isokin_L_EMG_data.csv,40050,1593020168255.0,1593020221161.53
Subj_01_MVC_Isokin_R_EMG_data.csv,32700,1593020174840.0,1593020222204.05
Subj_01_MVC_MMH_Bim_L_EMG_data.csv,45750,1592244837926.0,1592244897826.36
Subj_01_MVC_MMH_Bim_R_EMG_data.csv,46800,1592244839446.0,1592244896436.58
Subj_01_MVC_MMH_One_L_EMG_data.csv,45750,1592244837926.0,1592244897826.36
Subj_01_MVC_MMH_One_R_EMG_data.csv,46800,1592244839446.0,1592244896436.58
Subj_02_Isokin_L_02kg_40bpm_EMG_data.csv,35500,1600945049476.0,1600945117275.97
Subj_02_Isokin_L_02kg_60bpm_EMG_data.csv,30000,1600945119036.0,1600945176053.14
Subj_02_Isokin_L_02kg_80bpm_EMG_data.csv,28200,1600945184616.0,1600945239712.83
Subj_02_Isokin_L_02kg_St_EMG_data.csv,16200,1600945008986.0,1600945038611.66
Subj_02_Isokin_L_04kg_40bpm_EMG_data.csv,35250,1600945668955.0,1600945736681.96
Subj_02_Isokin_L_04kg_60bpm_EMG_data.csv,29550,1600945747811.0,1600945805235.33
Subj_02_Isokin_L_04kg_80bpm_EMG_data.csv,31750,1600945813033.0,1600945874942.0
Subj_02_Isokin_L_04kg_St_EMG_data.csv,16050,1600945627019.0,1600945656840.52
Subj_02_Isokin_R_02kg_40bpm_EMG_data.csv,34200,1600944783232.0,1600944846795.72
Subj_02_Isokin_R_02kg_60bpm_EMG_data.csv,32800,1600944867483.0,1600944929934.03
Subj_02_Isokin_R_02kg_80bpm_EMG_data.csv,31500,1600944935088.0,1600944993494.96
Subj_02_Isokin_R_02kg_St_EMG_data.csv,13800,1600944736861.0,1600944762178.26
Subj_02_Isokin_R_04kg_40bpm_EMG_data.csv,35850,1600945386989.0,1600945453671.99
Subj_02_Isokin_R_04kg_60bpm_EMG_data.csv,34800,1600945466175.0,1600945532357.67
